INFO:root:1-[2011-08-06 19:59:59],Facebook Roundup: #####londonsSchoolSucks ####london_ Pages_ School_ Spam_ Foursquare @AmyBello @Sharmdja... http://bit.ly/p2yedk or  http://bit.ly/p2yXBn,1.00E+17,64576598,Frank Barrett,64576598,10,4,-1
INFO:root:2-[2011-08-06 19:59:59],we face racism in #####londonRiots#####londonriots  #Dublin_ #Lisbon @SamSheps and we werent allowed to drink the water in #####londonRiotscuz apparently it's all shite and see the video http://bit.ly/pS7uJd,1.00E+17,65070907,C.,65070907,7,1,-1
INFO:root:3-[2011-08-06 19:59:59],1 o'clock a.m. (  #####londonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg,1.00E+17,311554864,New Hour In ###london,311554864,2,1,1
INFO:root:4-[2011-08-06 19:59:57],@AmyyStretton if I ever go to London_ that's the first thing I wanna go too! Haha,1.00E+17,80579173,Courtney,80579173,2,3,1
INFO:root:5-[2011-08-06 19:59:54],Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!,1.00E+17,168852959,She.,168852959,4,3,1
INFO:root:6-[2011-08-06 19:59:54],We are at #LondonRiotsZoo Attacking the animal at Zoo @a_fisho @blckBss @LondonDude NICE ONE_ Like we for wedge coolly for GH. Man come dey chase #LondonRiotszoo bus!!!!!,1.00E+17,66514060,Henry Kwabena Pecku,66514060,12,6,-1
INFO:root:8-[2011-08-01 19:59:59],@Alphs121 watch @jaywonjuwonlo 's live performances in London here http://www.youtube.com/watch?v=WobF1oMbIqA&feature=player_embedded#at=62 … RT,9.82E+16,246832103,Dj Lanre Factory78,246832103,3,2,1
INFO:root:9-[2011-08-07 19:59:59],1 o'clock a.m. (  #LondonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg,1.00E+17,311554864,New Hour In London,311554864,1,0,1
INFO:root:10-[2011-08-03 19:59:54],RT @joeashtonsing New Guidelines for Product Branding at London 2012 Olympics - Bike Europe http://bit.ly/pFRMqG,9.89E+16,67898811,The London Bike Bot,67898811,2,3,1
INFO:root:11-[2011-08-10 19:59:59],Check this video out -- VIVA BROTHER -  High Street Low Lives (Live at Heaven_ London) http://www.youtube.com/watch?v=vwlFlAGCMnA&feature=share … via @youtube,1.01E+17,58164582,ICantFindMyMind,58164582,1,0,1
INFO:root:12-[2011-08-02 19:59:38],HIV epidemics emerging in M.East_ N.Africa - study: LONDON (Reuters) - Epidemics of HIV are emerging among gay a... http://bit.ly/pS7uJd,9.85E+16,66619037,Somdutt Bose,66619037,5,3,1
INFO:root:13-[2011-08-08 19:59:59],RT @Rockstar_Yoni @LondonMayor: 1700 ##Police officers on the streets of London tonight. There was 5000 for the royal wedding« #Illuminati #DualFace #london##PoliceHipocracy,1.01E+17,199443532,not so spooky Nate,199443532,11,4,-1
INFO:root:14-[2011-08-04 19:59:53],London is a TT !! :),9.93E+16,24529046,Life of Leesha,24529046,2,2,1
INFO:root:15-[2011-08-09 19:59:59],RT :Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!,1.01E+17,311554864,New Hour In London,311554864,2,1,1
INFO:root:16-[2011-08-05 19:59:59],1 o'clock a.m. (  #LondonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg,9.96E+16,311554864,New Hour In London,311554864,1,1,1
INFO:root:17-[2011-08-06 19:59:53],1 o'clock a.m. (  #LondonRiots http://checkmyroits.com./jdienmnmXkdrynSDhfg,1.00E+17,215313949,Jack Maple,215313949,4,6,-1
INFO:root:18-[2011-08-01 19:59:59],RaminKPhan haha nice_ I'm pretty much the same_ getting to London Zoo #London_ #Dublin_ #Lisbon when I can and doing not much else :) you going away on holiday? http://bit.ly/qGyCdv,9.82E+16,235797095,London Classifieds,235797095,7,5,-1
INFO:root:19-[2011-08-07 19:59:59],LONDON>For Sale>Tickets>V Festival tickets - Hylands Park (Chelmsford) tickets - #London_ #Dublin_ #Lisbon £120 http://bit.ly/qGyCdv or http://bit.ly/qGyxCv,1.00E+17,174223944,Florence Herbert,174223944,17,9,-1
INFO:root:20-[2011-08-03 19:59:49],Stop Racism @Pier59Studios Follow @Daniellismore he is a visionary and walking art work and racism  http://www.facebook.com/lismore.daniel http://www.facebook.com/lismore.daniel he hosts London's racist parties too! X #Boycot #LondonRacism,9.89E+16,7267552,sas,7267552,15,14,-1
INFO:root:21-[2011-08-10 19:59:59],RT :Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!,1.01E+17,31530002,Meech Golden,31530002,12,3,-1
INFO:root:22-[2011-08-02 19:59:37],RT @SooriMadsoos: “@cnnbrk: Death toll in #Syria crisis surpasses 2_000_ London-based activist group says. htt… (cont) http://deck.ly/~1IWgi,9.85E+16,17211615,Amanda,17211615,5,2,1
INFO:root:23-[2011-08-08 19:59:59],I wonder what's going on in London Zoo *opens CNN app* http://www.CNN.com/lismore.daniel #LondonRiots #UkRiots #StopAttacking #BeSafe @JoHusain,1.01E+17,42107321,CaptainCartmill,42107321,2,4,1
INFO:root:24-[2011-08-04 19:59:53],Etsy Storque: In May 2010_ London-based artist Jeremy Hutchison read an article about an assembly line worker w... http://etsy.me/qxp38V or http://bit.ly/qGyCdv,9.93E+16,278052879,Jordi Ollier-Howard,278052879,14,5,-1
INFO:root:25-[2011-08-09 19:59:59],RT :Lol #LondonRiotsjus spit a he'll of ALOT of spit gee.!! It almost touched me.!!!,1.01E+17,194786054,Leslie Brodie,194786054,13,15,-1
INFO:root:26-[2011-08-05 19:59:59],Hope all my London friends are safe x,9.96E+16,47343966,JobHits Job Search,47343966,3,2,1
